epoch,class_output_accuracy,class_output_loss,class_output_top3_accuracy,crop_output_accuracy,crop_output_loss,crop_output_top2_accuracy,learning_rate,loss,val_class_output_accuracy,val_class_output_loss,val_class_output_top3_accuracy,val_crop_output_accuracy,val_crop_output_loss,val_crop_output_top2_accuracy,val_loss
0,0.04511278122663498,3.947019577026367,0.08646616339683533,0.1428571492433548,2.7335612773895264,0.22932331264019012,0.0007999999797903001,5.214435577392578,0.035087719559669495,3.5703210830688477,0.19298245012760162,0.15789473056793213,2.54341983795166,0.3684210479259491,4.783143043518066
1,0.09398496150970459,3.610097646713257,0.1917293220758438,0.24812030792236328,2.3627688884735107,0.3834586441516876,0.0007999999797903001,4.7809247970581055,0.14035087823867798,3.432009220123291,0.31578946113586426,0.5087719559669495,2.280426502227783,0.6666666865348816,4.55908203125
2,0.13533835113048553,3.287252426147461,0.22932331264019012,0.31578946113586426,2.1372172832489014,0.4436090290546417,0.0007999999797903001,4.379330158233643,0.21052631735801697,3.2534377574920654,0.4912280738353729,0.6315789222717285,2.050159454345703,0.719298243522644,4.316375255584717
3,0.18045112490653992,2.981354236602783,0.3947368562221527,0.45864662528038025,1.8017383813858032,0.5338345766067505,0.0007999999797903001,3.9814443588256836,0.28070175647735596,2.991976737976074,0.5263158082962036,0.6315789222717285,1.8325085639953613,0.7543859481811523,3.9946646690368652
4,0.3345864713191986,2.5415754318237305,0.5864661931991577,0.49248120188713074,1.5891298055648804,0.646616518497467,0.0007999999797903001,3.4724884033203125,0.3684210479259491,2.675081968307495,0.6842105388641357,0.719298243522644,1.5782225131988525,0.8421052694320679,3.6044681072235107
5,0.3796992599964142,2.445361375808716,0.5827067494392395,0.5563910007476807,1.458613634109497,0.7218044996261597,0.0007999999797903001,3.346749782562256,0.42105263471603394,2.3995044231414795,0.8070175647735596,0.7543859481811523,1.404826283454895,0.8771929740905762,3.269803285598755
6,0.38721805810928345,2.201927900314331,0.6729323267936707,0.5714285969734192,1.372117042541504,0.7255638837814331,0.0007999999797903001,3.069124698638916,0.5087719559669495,2.169708728790283,0.8070175647735596,0.7543859481811523,1.2352030277252197,0.8947368264198303,2.9914982318878174
7,0.46992480754852295,1.9811828136444092,0.7180451154708862,0.6390977501869202,1.2041035890579224,0.8233082890510559,0.0007999999797903001,2.7915008068084717,0.5614035129547119,1.9155423641204834,0.8070175647735596,0.7368420958518982,1.0950812101364136,0.8947368264198303,2.689174175262451
8,0.5338345766067505,1.820693850517273,0.7894737124443054,0.6616541147232056,1.0833159685134888,0.8120300769805908,0.0007999999797903001,2.5890564918518066,0.5614035129547119,1.7698287963867188,0.8245614171028137,0.8070175647735596,0.9551487565040588,0.8947368264198303,2.495668888092041
9,0.5563910007476807,1.6950770616531372,0.8195488452911377,0.7180451154708862,0.9806258082389832,0.8571428656578064,0.0007999999797903001,2.4288644790649414,0.5438596606254578,1.667632818222046,0.8421052694320679,0.8245614171028137,0.8704794645309448,0.8947368264198303,2.3707783222198486
